,Unnamed: 0,datetime,city,state,country,shape,duration (seconds)
1775,48694,1969-06-15 06:00:00,islip,ny,us,other,1200.0
1776,48745,1974-06-15 13:00:00,albany,ny,us,triangle,120.0
1777,48761,1975-06-15 13:00:00,fulton,ny,us,disk,60.0
1778,48791,1976-06-15 20:00:00,smithtown,ny,us,disk,30.0
1779,48792,1976-06-15 21:00:00,brentwood,ny,us,disk,300.0
1780,48793,1976-06-15 21:00:00,long beach,ny,us,disk,900.0
1781,48828,1978-06-15 17:00:00,levittown,ny,us,disk,60.0
1782,48889,1982-06-15 19:00:00,new york city (staten island),ny,us,cigar,300.0
1783,48897,1983-06-15 02:00:00,shokan,ny,us,light,60.0
1784,48924,1985-06-15 02:30:00,route 7,ny,,rectangle,1200.0
1785,48933,1985-06-15 23:00:00,new york city (brooklyn),ny,us,oval,60.0
1786,48982,1992-06-15 02:00:00,scarsdale,ny,us,,300.0
1787,49087,1997-06-15 02:30:00,middletown,ny,us,,300.0
1788,49103,1997-06-15 21:00:00,medford,ny,us,sphere,60.0
1789,49125,1998-06-15 14:00:00,lancaster,ny,us,circle,60.0
1790,49154,1999-06-15 20:00:00,great river,ny,us,disk,180.0
1791,49172,2000-06-15 15:00:00,unsure,ny,,sphere,2.0
1792,49238,2002-06-15 23:00:00,lloyd harbor,ny,us,triangle,900.0
1793,49239,2002-06-15 23:00:00,rochester,ny,us,light,20.0
1794,49292,2005-06-15 15:00:00,new york city (brooklyn),ny,us,unknown,600.0
1795,49304,2005-06-15 21:00:00,lagrange,ny,us,light,2.0
1796,49332,2006-06-15 22:15:00,ferndale,ny,us,unknown,1080.0
1797,49360,2008-06-15 03:00:00,dundee,ny,us,unknown,900.0
1798,49392,2011-06-15 03:00:00,pennellville,ny,us,light,180.0
1799,49420,2012-06-15 20:30:00,penn yan,ny,us,fireball,5.0
1800,49422,2012-06-15 21:00:00,huntington,ny,us,light,6312000.0
1801,49434,2012-06-15 23:00:00,oakdale,ny,us,diamond,180.0
1802,49436,2012-06-15 23:37:00,schenectady,ny,us,sphere,180.0
1803,49437,2012-06-15 23:48:00,north babylon,ny,us,circle,43.0
1804,49444,2013-06-15 15:15:00,binghamton,ny,us,sphere,120.0
1805,49466,2013-06-15 22:30:00,ontario,ny,us,fireball,300.0
1806,49494,2000-06-16 14:00:00,saratoga,ny,,oval,120.0
1807,49551,2007-06-16 05:20:00,new york city (brooklyn),ny,us,disk,600.0
1808,49574,2009-06-16 17:00:00,huntington,ny,us,circle,300.0
1809,49607,2012-06-16 21:30:00,southold,ny,us,fireball,180.0
1810,49620,2012-06-16 22:20:00,phoenix/oswego,ny,,sphere,600.0
1811,49623,2012-06-16 22:45:00,eden,ny,us,formation,240.0
1812,49634,2012-06-16 23:47:00,niskayuna,ny,us,light,8.0
1813,49651,2013-06-16 21:50:00,grahamsville,ny,us,light,30.0
1814,49701,2001-06-18 00:00:00,new york city,ny,us,disk,30.0
1815,49737,2005-06-17 22:28:00,new york city (brooklyn),ny,us,unknown,40.0
